epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2665.62,1.22253,1.79456,1.3093,0.75223,0.75885,0.80222,0.52502,1.23975,1.37275,1.32622,0.000955072,0.000955072,0.000955072
43,2727.31,1.19994,1.797,1.31533,0.79906,0.74235,0.81038,0.54907,1.17986,1.35801,1.29955,0.000952889,0.000952889,0.000952889
44,2789.99,1.22965,1.82997,1.32193,0.80794,0.73273,0.80297,0.53673,1.19437,1.36046,1.30475,0.000950658,0.000950658,0.000950658
45,2851.67,1.19789,1.74813,1.27602,0.81586,0.73516,0.81377,0.54481,1.17132,1.34785,1.29048,0.000948377,0.000948377,0.000948377
46,2913.1,1.20858,1.75646,1.32358,0.79415,0.73972,0.81507,0.55105,1.18061,1.36273,1.29634,0.000946048,0.000946048,0.000946048
47,2975.76,1.19526,1.73632,1.30901,0.79423,0.74516,0.81645,0.54807,1.19216,1.32919,1.29945,0.000943671,0.000943671,0.000943671
48,3037.86,1.17867,1.74101,1.27515,0.8161,0.75528,0.81755,0.56444,1.10967,1.28299,1.26757,0.000941245,0.000941245,0.000941245
49,3101.82,1.22579,1.75078,1.30448,0.80752,0.75079,0.81601,0.54877,1.17762,1.30956,1.29353,0.000938772,0.000938772,0.000938772
50,3163.14,1.18042,1.66938,1.29962,0.81311,0.74636,0.81877,0.53748,1.22533,1.338,1.31586,0.000936251,0.000936251,0.000936251
51,3224.51,1.18691,1.65541,1.30406,0.78594,0.77859,0.82858,0.55351,1.20427,1.29226,1.30183,0.000933683,0.000933683,0.000933683
52,3286.24,1.19367,1.74318,1.31279,0.80212,0.76614,0.82598,0.56016,1.16367,1.29635,1.2816,0.000931067,0.000931067,0.000931067
53,3347.7,1.17317,1.6536,1.29297,0.80457,0.77548,0.83791,0.55965,1.20553,1.27547,1.30348,0.000928405,0.000928405,0.000928405
54,3409.58,1.1866,1.69821,1.29475,0.81906,0.77003,0.84084,0.55988,1.20966,1.28691,1.30684,0.000925697,0.000925697,0.000925697
55,3470.89,1.19076,1.71987,1.31205,0.82498,0.76997,0.84531,0.57646,1.15728,1.25609,1.27838,0.000922942,0.000922942,0.000922942
56,3533.49,1.1715,1.70088,1.29679,0.81033,0.78266,0.8438,0.57534,1.15516,1.26259,1.28176,0.000920142,0.000920142,0.000920142
57,3595.1,1.18526,1.69586,1.30542,0.81219,0.79774,0.85235,0.5725,1.16768,1.24239,1.28639,0.000917296,0.000917296,0.000917296
58,3656.62,1.16902,1.61446,1.27974,0.81203,0.79767,0.85414,0.58723,1.13665,1.22934,1.27067,0.000914405,0.000914405,0.000914405
59,3719.64,1.18106,1.72947,1.29052,0.83367,0.76124,0.84723,0.58434,1.14844,1.22905,1.2761,0.000911469,0.000911469,0.000911469
60,3781.12,1.17396,1.62614,1.30174,0.79192,0.79351,0.8482,0.5835,1.14759,1.23469,1.27303,0.000908488,0.000908488,0.000908488
